PERSONS,COUNTY,CITY,DAY,MONTH,YEAR,DAY_WEEK,HOUR,MINUTE,ROUTE,TWAY_ID,TWAY_ID2,LATITUDE,LONGITUD,FATALS,DRUNK_DR
1,15,0,25,1,2015,1,6,20,4,CR-ALEXANDRIA WELLINGTON HWY,,33.74095278,-85.88291667,1,1
2,123,60,23,1,2015,6,21,22,6,CR-40,,32.87644722,-85.87761667,2,1
10,3,860,15,1,2015,5,14,27,2,US-SR 16,JUBILEE PKWY,30.65515556,-87.90710278,1,1
2,73,20,28,1,2015,4,9,25,2,US-SR 5,HACKWORTH RD,33.58196667,-86.92233333,1,0
5,97,0,19,1,2015,2,14,25,2,US-SR 17,,30.85440833,-88.19383056,2,0
1,3,0,26,1,2015,2,14,40,4,CR-OAK LN,,30.73176944,-87.78450833,1,0
1,97,2100,27,1,2015,3,16,50,6,GULFDALE DR,,30.612125,-88.07764444,1,0
1,97,0,29,1,2015,5,0,50,3,SR-HAMILTON BLVD,,30.55205833,-88.10484722,1,1
1,73,350,20,1,2015,3,15,57,6,CAHABA RIVER ROAD,,33.43090833,-86.71233333,1,0
1,49,0,28,1,2015,4,21,10,4,CR-130,,34.37793333,-85.75579167,1,1
2,125,0,31,1,2015,7,18,45,2,US-SR 6,DALLIE DR,33.10606944,-87.46706944,1,0
1,49,0,2,2,2015,2,3,20,4,CR-27,,34.51033611,-85.76049444,1,0
2,73,1716,31,1,2015,7,3,10,1,I-459,,33.39817778,-86.77766944,1,0
1,97,2100,31,1,2015,7,8,19,1,I-10,,30.62482222,-88.12466111,1,0
1,17,1830,8,2,2015,1,2,15,1,I-85,,32.84681944,-85.18687778,1,0
2,97,2100,22,1,2015,5,0,7,6,S WASHINGTON AVE,,30.66823611,-88.05437222,1,1
4,3,0,24,1,2015,7,22,0,3,SR-3,,30.97233333,-87.63953056,2,0
2,73,350,29,1,2015,5,1,15,6,5TH ST PRATT,AVE U PRATT,33.529925,-86.88088611,1,0
1,97,0,31,1,2015,7,4,50,2,US-SR 42,,30.84359444,-88.39520556,1,0
5,109,3040,1,2,2015,1,14,38,2,US-SR 15,,31.82342222,-85.96047222,1,0
1,83,9997,9,2,2015,2,4,40,6,HUNTSVILLE BROWNSFERRY RD,,34.72961667,-86.85619722,1,0
3,37,0,1,2,2015,1,17,55,2,US-SR 21,,33.03825556,-86.22563056,1,0
2,91,0,3,2,2015,3,17,30,2,US-SR 8,,32.44788333,-87.96390278,1,0
1,89,0,4,2,2015,4,2,25,2,US-SR 1,,34.86791111,-86.57139167,1,0
1,3,0,8,2,2015,1,2,20,2,US-SR 16,,30.52108889,-87.45863889,1,1
3,49,2564,4,2,2015,4,17,52,3,SR-35,,34.45239167,-85.78168333,1,0
3,13,1460,8,2,2015,1,14,40,3,SR-10,,31.82686111,-86.6481,1,0
1,33,0,10,2,2015,3,22,0,3,SR-157,,34.65318611,-87.52819722,1,0
7,49,2564,10,2,2015,3,17,39,6,MCCURDY AVE,,34.52244722,-85.82724444,1,0
3,93,0,13,2,2015,6,21,33,3,SR-253,,34.06270556,-87.82596944,1,1
1,89,0,14,2,2015,7,10,55,2,US-SR 2,,34.76898333,-86.49392222,1,0
3,45,845,1,2,2015,1,3,55,2,US-SR 12,,31.28759444,-85.70040556,1,1
1,97,2100,4,2,2015,4,0,19,1,I-65,,30.70100278,-88.12357222,1,0
2,3,2650,31,1,2015,7,10,47,4,CR-FOLEY BEACH EXPRESS,,30.45154444,-87.680225,1,0
2,101,2130,8,2,2015,1,1,41,6,SOUTHERN BLVD,,32.32658333,-86.29738611,1,1
8,81,200,11,2,2015,4,11,41,3,SR-147,,32.61580556,-85.50796111,1,0
1,113,0,15,2,2015,1,18,23,4,CR-SHADY GROVE RD,,32.27960278,-85.38346389,1,0
2,97,2100,15,2,2015,1,21,8,2,US-SR 16,,30.68153889,-88.06909444,1,1
1,121,0,22,2,2015,1,3,55,4,CR-332,,33.493625,-86.16795833,1,1
4,95,50,20,2,2015,6,22,30,3,SR-75,,34.2806,-86.19588056,1,0
1,73,350,22,2,2015,1,19,0,6,HWY 280,,33.44571389,-86.73578611,1,0
1,73,350,20,2,2015,6,23,0,6,BANKHEAD HWY,,33.53994444,-86.87020833,1,0
4,73,1710,16,2,2015,2,5,17,1,I-65,,33.45167778,-86.8184,1,0
4,101,0,10,2,2015,3,18,0,2,US-SR 3,,32.10455556,-86.40459167,1,1
1,97,0,13,2,2015,6,10,9,2,US-SR 17,,31.02139444,-88.23171389,1,0
1,81,2340,23,2,2015,2,18,43,2,US-SR 1,,32.679275,-85.37018056,1,0
1,125,3050,24,2,2015,3,15,52,2,US-SR 6,,33.2262,-87.53260833,1,0
2,73,0,7,3,2015,7,4,45,1,I-20,,33.38663333,-86.98794167,1,1
1,101,0,17,2,2015,3,15,25,4,CR-COOSADA FERRY RD,,32.4551,-86.29180833,1,1
4,33,0,20,2,2015,6,12,0,3,SR-20,US-43,34.71134167,-87.66776389,1,1
1,3,1210,24,2,2015,3,21,14,6,FOLEY BEACH EXPRESSWAY,,30.43372222,-87.6492,1,0
4,83,0,1,3,2015,1,3,13,2,US-SR 2,BURGREEN RD,34.74899444,-86.79623056,4,2
3,125,2260,1,3,2015,1,10,25,2,US-SR 6,BOONE BLVD,33.234175,-87.63861667,1,1
1,121,0,1,3,2015,1,13,30,3,SR-21,,33.56501111,-85.86320556,1,1
4,89,1730,1,3,2015,1,17,58,6,HWY 53,STRINGFIELD RD,34.77878611,-86.65703889,1,1
2,95,0,3,3,2015,3,12,25,3,SR-79,,34.54287222,-86.15238889,2,0
1,127,0,3,3,2015,3,19,45,2,US-SR 5,,33.80393333,-87.12784444,1,0
1,97,2550,3,3,2015,3,18,56,4,CR-BEARFORK RD,,30.74889167,-88.13165833,1,1
2,73,350,5,3,2015,5,18,25,6,WOODLAND AVENUE SW,,33.49488056,-86.86086944,1,0
4,97,2550,3,3,2015,3,10,52,3,SR-WILSON AVE,I-165 SERVICE RD,30.73507222,-88.08218056,1,0
3,81,2340,8,3,2015,1,19,10,2,US-SR 51,GATEWAY DR,32.61657222,-85.37138889,1,0
3,73,0,9,3,2015,2,5,55,1,I-20,,33.54760278,-86.62523889,2,0
1,53,0,6,3,2015,6,20,25,1,I-65,,31.20380833,-87.31095556,1,0
15,101,2130,2,3,2015,2,8,7,1,I-65,,32.28422222,-86.34324444,3,0
1,47,0,6,3,2015,6,13,45,4,CR-CLARK RD,HWY 41,32.27369722,-86.98918611,1,1
2,115,160,18,2,2015,4,7,48,3,SR-23,,33.8332,-86.261,2,0
1,69,930,28,2,2015,7,19,57,6,WESTGATE PKWY,,31.25823611,-85.43218611,1,0
1,127,0,4,3,2015,4,11,47,4,CR-HILL CHASE RD,,33.93647222,-87.28287222,1,0
2,59,0,7,3,2015,7,4,0,4,CR-48,,34.51690278,-87.65490278,1,1
1,101,2130,14,3,2015,7,3,38,1,I-85,,32.35867222,-86.24773611,1,1
2,125,0,28,2,2015,7,1,40,4,CR-INDIAN CREEK RD,,33.06118056,-87.50944444,1,1
3,3,2650,5,3,2015,5,15,3,4,CR-83,HWY 90,30.56744167,-87.66604722,2,0
2,77,1200,6,3,2015,6,99,99,6,HWY 20,,34.78616389,-87.69790833,1,1
1,23,0,9,3,2015,2,23,5,2,US-SR 12,,31.769225,-88.18656944,1,1
2,73,0,13,3,2015,6,0,41,2,US-SR 3,,33.82046667,-86.80819444,1,1
3,15,2325,13,3,2015,6,19,21,3,SR-77,,33.76190556,-86.04343056,1,0
3,17,0,14,3,2015,7,10,0,3,SR-1,,32.93260278,-85.39525833,1,0
1,37,0,14,3,2015,7,16,40,3,SR-9,,33.09906389,-86.01120278,1,0
2,125,0,16,3,2015,2,22,55,4,CR-CARROLLTON RD,,33.25796389,-87.8056,1,1
1,93,0,21,3,2015,7,1,45,3,SR-253,,33.98633611,-87.85301389,1,0
2,73,0,4,4,2015,7,20,15,1,I-65,,33.687975,-86.83011389,1,0
2,3,860,1,4,2015,4,22,49,1,I-10,,30.66108056,-87.87046944,1,1
1,127,0,27,3,2015,6,23,28,1,I-22,,33.900625,-87.46942778,1,0
3,35,0,14,3,2015,7,21,7,1,I-65,,31.26938889,-87.21400556,1,0
5,3,0,11,3,2015,4,19,30,1,I-65,,31.00395,-87.67861667,1,0
2,103,890,8,3,2015,1,4,34,3,SR-67,,34.56162222,-86.97040556,1,1
2,125,0,1,3,2015,1,20,5,2,US-SR 6,,33.26156389,-87.70531111,1,0
2,115,160,3,3,2015,3,13,27,2,US-SR 53,,33.84600556,-86.27015,1,0
3,51,3270,8,3,2015,1,14,15,3,SR-170,,32.54603889,-86.18844444,1,0
1,1,0,10,3,2015,3,11,50,4,CR-81,,32.50412778,-86.57332778,1,0
3,43,0,16,3,2015,2,7,55,4,CR-1435,CR-1301,34.22031111,-86.82949444,1,0
1,89,1970,16,3,2015,2,10,4,6,MADISON BLVD,QUARRY RD,34.67851667,-86.74731667,1,0
4,113,0,17,3,2015,3,15,6,4,CR-OSWICHEE RD,,32.26903333,-85.01148611,2,0
2,31,0,19,3,2015,5,12,0,3,SR-134,,31.31268333,-85.92972222,1,0
5,31,0,20,3,2015,6,21,30,3,SR-167,CR-114,31.48936944,-85.91373056,2,0
1,63,1213,20,3,2015,6,21,45,4,CR-41,,32.65625,-87.87543889,1,0
3,49,2564,24,3,2015,3,7,15,6,MAIN ST,DEKALB DR,34.49746111,-85.85248056,1,0
3,97,2100,24,3,2015,3,8,20,2,US-SR 16,,30.69029167,-88.02360278,1,0
2,93,0,24,3,2015,3,19,40,4,CR-63,,34.004025,-87.74586944,1,0
3,89,1970,26,3,2015,5,4,36,6,WALL TRIANA HWY,GILLESPIE RD,34.72875556,-86.75015278,1,0
2,97,0,26,3,2015,5,8,25,4,CR-CELESTE RD,,31.00971111,-88.15887222,1,0
2,55,0,27,3,2015,6,23,35,2,US-SR 74,SR-179,34.05098889,-86.18392778,1,0
3,15,0,27,3,2015,6,21,45,4,CR-CHOCCOLOCCO RD,,33.650575,-85.74323889,1,1
2,125,0,28,3,2015,7,4,45,4,CR-NORTHSIDE ROAD,,33.48036667,-87.59326389,1,1
2,73,350,30,3,2015,2,19,15,6,NORTHLAND AVENUE SOUTHWEST,,33.47045,-86.87328889,1,0
4,55,2822,3,4,2015,6,19,50,3,SR-77,,33.90453611,-86.02566667,1,0
4,43,830,3,4,2015,6,11,29,3,SR-157,,34.21063056,-86.88754444,1,0
3,117,0,4,4,2015,7,18,30,4,CR-47,,33.32356944,-86.61827778,1,1
14,53,0,2,4,2015,5,16,50,1,I-65,,31.19800278,-87.31778056,1,0
2,69,0,21,3,2015,7,20,15,4,CR-S ROCKY CREEK RD,,31.06918889,-85.26763889,2,1
2,101,2130,23,3,2015,2,0,38,6,TROY HWY,VIRGINIA LOOP RD,32.32344444,-86.23832778,1,2
4,101,2130,24,3,2015,3,19,48,6,DAY ST,BIRMINGHAM HWY,32.36861667,-86.35498056,1,1
3,55,1280,24,3,2015,3,20,0,3,SR-77,I-59 RAMP,33.996975,-86.09063611,1,0
4,49,2564,28,3,2015,7,20,4,6,MAIN ST,LOVE RD,34.47056667,-85.78625,1,1
2,25,0,1,4,2015,4,16,43,4,CR-44,,31.90763611,-87.81741111,1,0
2,71,0,3,4,2015,6,8,50,4,CR-93,,34.91848333,-85.64063611,1,0
1,77,0,3,4,2015,6,19,5,3,SR-157,,34.87791389,-87.71029444,1,1
2,71,0,5,4,2015,1,11,40,3,SR-40,,34.63410278,-85.93313056,1,0
1,11,0,4,4,2015,7,15,0,3,SR-110,,32.26690278,-85.95272222,1,1
2,125,0,6,4,2015,2,6,25,3,SR-69,,33.52636111,-87.47221944,1,0
6,51,3270,6,4,2015,2,17,25,2,US-SR 9,,32.47788056,-86.19813611,1,0
1,73,0,16,2,2015,2,11,45,4,CR-SARDIS RD,,33.73637778,-86.86807222,1,0
3,73,350,30,3,2015,2,20,50,3,SR-75,,33.61813611,-86.685,1,0
1,97,2716,17,4,2015,6,13,42,1,I-65,,30.87624722,-88.04591944,1,0
2,101,2130,27,3,2015,6,5,20,1,I-65,,32.36128333,-86.32179722,1,0
3,73,0,6,4,2015,2,17,22,4,CR-ROCK CREEK RD,,33.48549444,-87.03136944,1,0
1,127,2400,12,2,2015,5,11,42,3,SR-269,,33.76413611,-87.27437778,1,0
1,73,330,14,3,2015,7,22,9,6,DARTMOUTH AVE,CAROLINA TER,33.408075,-86.93732778,1,0
3,109,3040,30,3,2015,2,15,27,2,US-SR 53,RIVERVIEW DR,31.83838056,-85.99281389,1,0
1,113,2440,2,4,2015,5,6,5,6,SUMMERVILLE ROAD,36TH ST,32.49611111,-85.01460278,1,0
2,101,2130,4,4,2015,7,5,50,2,US-SR 6,NARROWLANE ROAD,32.32692222,-86.28206944,1,0
2,53,0,6,4,2015,2,14,35,4,CR-55,,31.04196944,-87.03546944,1,0
3,43,0,6,4,2015,2,14,20,2,US-SR 3,,34.08569167,-86.79316389,2,0
1,81,200,10,4,2015,6,3,15,6,FOSTER ST,CLARK AVE,32.61595,-85.49899167,1,1
1,125,718,11,4,2015,7,23,45,4,CR-COVERED BRIDGE ROAD,,33.17655278,-87.30551667,1,1
2,51,2940,12,4,2015,1,0,51,3,SR-14,LAUREL ST,32.56443611,-85.93123889,1,1
3,89,0,13,4,2015,2,12,10,3,SR-53,OLD RAILROAD BED RD,34.88471111,-86.73896944,1,0
4,113,0,8,4,2015,4,20,23,2,US-SR 1,CUTCHIN DR,32.29946111,-85.18006944,1,0
2,61,0,9,4,2015,5,5,0,4,CR-49,,31.10145278,-85.51632778,1,0
16,107,0,10,4,2015,6,15,40,4,CR-30,CR-35,33.40058333,-88.14174167,1,0
5,109,0,11,4,2015,7,23,40,2,US-SR 15,,31.833975,-85.77583333,1,1
2,121,0,15,4,2015,4,5,10,3,SR-38,,33.11793333,-86.23954167,1,0
2,117,0,15,4,2015,4,11,50,3,SR-25,,33.15340556,-86.65777222,1,0
1,19,1852,16,4,2015,5,7,20,3,SR-68,HOLMAN ST,34.18084444,-85.76155278,1,0
4,5,720,16,4,2015,5,20,5,3,SR-10,,31.70562778,-85.59275278,1,0
1,73,330,18,4,2015,7,21,49,3,SR-150,,33.38305,-86.94081111,1,0
2,95,50,18,4,2015,7,10,22,2,US-SR 1,EAST MCKINNEY AVE,34.27261667,-86.19847778,1,0
5,21,0,18,4,2015,7,20,25,2,US-SR 6,,32.68974444,-86.79486389,2,0
1,15,0,19,4,2015,1,3,25,3,SR-9,,33.760725,-85.69259167,1,0
2,115,0,19,4,2015,1,9,0,4,CR-MURPHEES VALLEY RD,OAK GROVE RD,33.80746944,-86.48646944,1,0
1,47,2760,17,4,2015,6,20,15,2,US-SR 8,,32.43308333,-87.04990278,1,0
1,43,0,21,4,2015,3,15,0,4,CR-1354,,34.26499167,-86.84061944,1,1
1,73,330,22,4,2015,4,14,38,3,SR-150,,33.39529167,-86.95479167,1,0
3,9,0,24,4,2015,6,13,40,4,CR-27,,33.90451667,-86.43398333,1,0
2,125,0,24,4,2015,6,20,30,4,CR-DAFFRON RD,,33.12183611,-87.44465556,1,1
4,73,3080,25,4,2015,7,12,50,4,CR-10,,33.60119722,-86.57146667,1,1
3,71,0,26,4,2015,1,10,30,3,SR-117,,34.83090556,-85.76291667,1,0
6,13,0,8,4,2015,4,13,30,1,I-65,,31.69793611,-86.7433,1,0
2,53,0,25,4,2015,7,4,20,1,I-65,,31.19613611,-87.32029167,1,1
1,101,2130,28,4,2015,3,8,11,1,I-85,,32.36698056,-86.14332222,1,0
4,89,0,17,4,2015,6,11,10,4,CR-MAYSVILLE RD,,34.78567778,-86.44812778,1,0
2,3,1011,17,4,2015,6,18,39,4,CR-20,POMPANO DR,30.36303056,-87.59561389,1,1
3,73,350,22,4,2015,4,9,36,6,CRESTWOOD BLVD,56TH ST S,33.528825,-86.74684444,2,1
1,19,0,24,4,2015,6,20,35,4,CR-59,,34.07541667,-85.64501944,1,1
2,125,3050,25,4,2015,7,20,38,2,US-SR 7,,33.17261667,-87.477725,1,1
3,123,0,27,4,2015,2,9,45,4,CR-LOVE LADY RD,SR-50,32.698575,-85.84709722,1,0
5,43,0,27,4,2015,2,10,25,4,CR-47,,34.08930556,-86.65215556,2,0
4,79,0,15,4,2015,4,11,0,3,SR-24,CR-217,34.51630556,-87.20631111,1,0
1,95,400,30,4,2015,5,23,0,3,SR-168,,34.21392778,-86.13927222,1,0
2,3,0,23,4,2015,5,20,57,1,I-10,,30.61619167,-87.57853611,1,0
2,121,0,25,4,2015,7,0,25,1,I-20,,33.58526944,-86.04059444,1,1
3,53,0,1,5,2015,6,18,15,1,I-65,,31.14328611,-87.40973889,1,0
2,73,1716,5,5,2015,3,0,17,1,I-65,,33.407825,-86.76304444,1,1
2,101,2130,2,4,2015,5,19,32,3,SR-6,,32.32687222,-86.273175,1,0
2,17,3111,16,4,2015,5,20,6,2,US-SR 15,,32.81164167,-85.17035,1,0
1,125,3050,20,4,2015,2,23,0,3,SR-215,,33.19108333,-87.46343333,1,0
2,77,1200,23,4,2015,5,13,9,4,CR-DARBY DR,BROADWAY BLVD,34.83666111,-87.65181667,1,0
1,17,3111,25,4,2015,7,19,0,2,US-SR 15,,32.81228611,-85.17083056,1,0
2,81,0,30,4,2015,5,9,27,4,CR-188,HWY 280,32.72789444,-85.58121667,1,0
1,89,0,30,4,2015,5,17,10,2,US-SR 1,,34.63110278,-86.46207222,1,0
3,107,0,30,4,2015,5,21,25,3,SR-17,,33.41463333,-88.00765833,2,0
3,55,1370,30,4,2015,5,20,35,2,US-SR 1,EDGAR RD,33.91519167,-85.91348056,1,1
1,73,350,2,5,2015,7,22,30,6,ARKADELPHIA RD,,33.51839722,-86.850275,1,0
5,97,2550,3,5,2015,1,17,43,6,JARRETT RD,CALKINS DR,30.771375,-88.17473889,1,0
1,125,3050,4,5,2015,2,0,50,3,SR-216,,33.23294722,-87.41972778,1,1
3,87,3070,4,5,2015,2,11,0,2,US-SR 81,,32.45510833,-85.68898889,1,0
6,1,0,4,5,2015,2,15,50,3,SR-3,,32.53463333,-86.45578056,2,0
1,71,0,4,5,2015,2,19,18,4,CR-39,,34.85403889,-86.03828333,1,0
2,77,0,5,5,2015,3,14,45,4,CR-19,,34.82900833,-87.76345556,1,0
3,127,0,6,5,2015,4,7,35,3,SR-257,,33.93793333,-87.22391389,2,0
7,3,1210,1,5,2015,6,21,7,2,US-SR 42,RALPH SCHUMACHER LANE,30.40665,-87.70856944,1,1
1,33,2190,4,5,2015,2,21,6,3,SR-133,,34.72234167,-87.63496667,1,0
2,101,2130,2,4,2015,5,22,23,6,EASTERN BLVD,CALMAR DR,32.33015,-86.23213056,1,1
2,33,0,8,5,2015,6,9,20,2,US-SR 2,,34.72326111,-87.81718333,1,0
1,125,3050,8,5,2015,6,11,15,6,BUTTERMILK RD,,33.18373889,-87.44763333,1,0
1,77,0,10,5,2015,1,16,35,4,CR-ALABAMA ST,,34.87006111,-87.53710833,1,0
3,15,100,4,5,2015,2,6,59,2,US-SR 4,,33.61511389,-85.76906944,1,0
2,21,700,24,5,2015,1,9,25,1,I-65,,32.88801944,-86.62379722,1,0
2,17,3111,23,5,2015,7,20,0,1,I-85,,32.80710833,-85.22606389,1,0
4,101,2130,11,5,2015,2,20,49,1,I-85,,32.36118056,-86.18275556,1,0
1,115,0,14,5,2015,5,17,17,1,I-59,,33.88559167,-86.25375556,1,0
2,115,0,11,5,2015,2,16,0,1,I-59,,33.81000833,-86.35801667,1,0
1,101,2130,8,5,2015,6,19,33,1,I-85,I-65,32.36733056,-86.32124722,1,0
1,39,0,11,4,2015,7,13,10,4,CR-OAKEY STREAK RD,,31.43940278,-86.500025,1,0
2,31,0,3,5,2015,1,2,0,3,SR-87,,31.59647222,-86.00601389,1,1
2,33,0,3,5,2015,1,16,55,2,US-SR 13,,34.62752778,-87.65018056,1,1
9,61,0,9,5,2015,7,18,55,4,CR-89,,31.00788056,-85.81985278,1,0
1,53,0,11,5,2015,2,8,30,4,CR-1,,31.21214722,-87.60316667,1,0
3,29,0,11,5,2015,2,12,30,3,SR-46,CR-63,33.55435,-85.409275,1,0
1,113,2440,10,5,2015,1,0,10,6,SANDFORT ROAD,,32.44434444,-85.03772222,1,1
2,113,0,9,5,2015,7,15,7,2,US-SR 1,,32.15112222,-85.17539722,1,0
2,97,0,7,5,2015,5,6,40,4,CR-25,,30.75416111,-88.27655556,1,0
1,103,0,14,5,2015,5,14,30,4,CR-TALUCAH RD,,34.51756111,-86.67522778,1,1
1,131,2490,14,5,2015,5,21,58,4,CR-18,CR-9,31.97318333,-87.58413889,1,0
1,97,2550,15,5,2015,6,21,31,6,WOLF RIDGE RD,,30.74800833,-88.11728333,1,0
1,19,0,15,5,2015,6,9,30,4,CR-752,,34.26544444,-85.65693611,1,0
1,69,0,18,5,2015,2,1,55,4,CR-HODGESVILLE RD,,31.14548056,-85.38818333,1,0
3,67,0,18,5,2015,2,6,53,4,CR-65,,31.44531111,-85.18464722,1,0
7,19,1852,18,5,2015,2,15,18,6,KEENER DR,MACKEY ST,34.17649167,-85.78791667,1,0
2,15,2370,20,5,2015,4,5,57,2,US-SR 4,PEACEFUL VALLEY RD,33.60283333,-85.98659167,1,0
2,55,2822,20,5,2015,4,6,3,3,SR-77,,33.84518056,-86.050325,1,1
1,115,0,20,5,2015,4,17,15,2,US-SR 53,,33.64144722,-86.27768056,1,0
1,61,0,20,5,2015,4,19,50,4,CR-4,,31.03754167,-85.92891389,1,1
1,97,2100,20,5,2015,4,20,41,6,MCVAY DR,,30.64512778,-88.10200278,1,0
1,77,0,21,5,2015,5,13,30,4,CR-8,,34.96056111,-87.57348611,1,0
2,117,530,21,5,2015,5,14,0,2,US-SR 3,,33.16313333,-86.75501944,1,0
2,59,3130,22,5,2015,6,16,55,3,SR-19,,34.368425,-88.04374167,1,0
1,121,0,22,5,2015,6,19,51,4,CR-GRIST MILL RD,,33.34723889,-86.24552222,1,0
1,27,0,24,5,2015,1,18,15,4,CR-BLUFF SPRING RD,,33.23864722,-85.82023611,1,1
1,125,0,24,5,2015,1,20,30,4,CR-CHAPEL PARK CT,,33.19059167,-87.38245,1,1
4,131,0,25,5,2015,2,11,40,4,CR-29,,32.19991944,-87.38418889,1,0
1,113,2440,20,5,2015,4,22,7,2,US-SR 1,,32.46113056,-85.01983611,1,0
4,15,2370,27,5,2015,4,5,25,2,US-SR 4,WILLIAMS ST,33.60566667,-85.84304444,1,0
2,97,690,26,5,2015,3,14,15,2,US-SR 17,,31.03937778,-88.23173889,1,0
2,73,350,25,5,2015,2,15,5,6,ENSLEY PLEASANT GROVE RD,,33.4932,-86.91936389,1,0
1,3,1493,27,5,2015,4,9,0,4,CR-2,CAMPGROUND RD,30.26576667,-87.64966944,1,0
4,77,0,28,5,2015,5,18,5,2,US-SR 2,,34.86105556,-87.46359722,1,0
3,89,1730,29,5,2015,6,20,17,6,MASTIN LAKE RD,JORDAN LN,34.77149167,-86.65099167,1,1
3,9,2811,29,5,2015,6,22,16,2,US-SR 278,CR-36,34.10728056,-86.376,1,0
3,73,350,31,5,2015,1,18,48,1,I-59,,33.57411667,-86.71670833,1,1
1,77,0,30,5,2015,7,17,40,4,CR-575,,34.84441667,-87.36358333,1,0
1,79,0,31,5,2015,1,19,0,3,SR-33,,34.64768611,-87.27627778,1,0
3,81,0,24,5,2015,1,14,0,4,CR-158,,32.66621944,-85.18344167,1,1
1,113,0,24,5,2015,1,19,42,3,SR-165,,32.32995,-85.01913611,1,1
4,77,0,3,6,2015,4,17,25,4,CR-6,CR-9,34.90246944,-87.75307778,1,0
3,89,1730,4,6,2015,5,3,29,1,I-565,,34.72722222,-86.60376944,1,0
2,115,0,11,6,2015,5,13,21,1,I-20,,33.57900278,-86.45679167,1,0
4,97,2716,15,6,2015,2,21,52,1,I-65,,30.84921944,-88.07545833,1,1
3,115,0,16,6,2015,3,9,25,1,I-59,,33.78513333,-86.39731667,1,0
1,3,1210,28,4,2015,3,20,10,6,E MICHIGAN AVE,,30.39219722,-87.6757,1,0
1,97,0,23,5,2015,7,5,0,4,CR-RAMSEY ROAD,,30.48342778,-88.30996944,1,1
5,43,0,28,5,2015,5,12,30,2,US-SR 3,CR-612,34.11820556,-86.81258056,1,0
4,105,0,28,5,2015,5,15,30,3,SR-5,CR-72,32.56905556,-87.34451944,1,0
7,115,2410,30,5,2015,7,14,36,3,SR-4,,33.59051667,-86.24565556,1,0
2,67,10,1,6,2015,2,7,10,3,SR-10,,31.57391111,-85.25958889,1,0
